txid,amount,shopper_country,issuer_country,shopper_email,creation_date,card_number_hash,txvariantcode,bin,currency,fraud
0,297013,SE,SE,natasha.trader@yahoo.com,01/10/2016 01:40 PM,4a0db7fb35c02461c6,mcstandarddebit,181061,GBP,0
1,973166,UA,CN,katharyn.cespedes@msn.com,01/10/2016 02:48 PM,fa718486df8c82b235,visacorporate,603023,CAD,1
2,667089,NO,NO,bryce.riffel@aol.com,01/10/2016 03:25 PM,332f6104e54e8630d8,visacommercialsuperpremiumdebit,549797,USD,0
3,742156,CN,NI,sarita.surprenant@gmail.com,01/10/2016 04:20 PM,832793c143b3deb762,visa_applepay,765028,CNY,0
4,797323,FR,FR,rebecka.sedlak@hotmail.com,01/10/2016 04:28 PM,871d671220044a3e7f,mcfleetdebit,652523,CNY,0
5,945919,CN,CN,kimi.hobby@gmail.com,01/10/2016 06:23 PM,01853a45736895f67d,visaalphabankbonus,388415,SEK,0
6,218056,NO,NO,melany.waldrep@gmail.com,01/10/2016 06:35 PM,b04dbf742ca988594a,visapurchasing,839450,CAD,0
7,196178,AU,AU,kimi.hobby@aol.com,01/10/2016 06:39 PM,ea271e655261e98ef5,mccredit,319372,USD,0
8,989475,RO,RO,magen.valentin@hotmail.com,01/10/2016 07:39 PM,3e92da52ad50377e0b,visapremiumdebit,500493,SEK,0
9,955361,FR,FR,romelia.salgado@yahoo.com,01/10/2016 09:15 PM,d91ce22867cab056eb,amex_applepay,814471,EUR,0
10,715114,CA,CA,pearl.letts@aol.com,01/10/2016 10:06 PM,3e7e3ecd25a005c6fa,visacommercialpremiumcredit,503584,USD,0
11,773231,DE,DE,amanda.bork@hotmail.com,01/10/2016 10:36 PM,bd34080c3f31a7b080,visacorporatedebit,916072,AUD,0
12,856474,FR,FR,carter.gillies@yahoo.com,01/10/2016 10:40 PM,f295cd83eaca0d02d5,visadankort,662921,NOK,0
13,343259,NI,NI,merlin.starrett@yahoo.com,01/10/2016 11:00 PM,1ad949b501825903b7,amex_samsungpay,771134,CAD,0
14,153259,AU,AU,kimi.hobby@aol.com,01/10/2016 11:19 PM,ea271e655261e98ef5,mccredit,319372,EUR,0
15,685252,CN,CN,madelaine.tweed@aol.com,01/10/2016 11:19 PM,ea816ad0a39db6c1b0,visacommercialpremiumdebit,675515,GBP,0
16,419176,GB,CN,emma.willems@aol.com,01/10/2016 11:27 PM,5ada99b46b6a39dc18,mcdebit,598411,EUR,0
17,936872,AU,AU,ross.whitney@yahoo.com,01/10/2016 11:35 PM,850c85979bc1a6ec85,mccommercialpremiumdebit,245574,NOK,0
18,289915,NI,CN,sarita.surprenant@msn.com,01/10/2016 11:49 PM,8e3168a9924b7c0022,mcatm,883086,AUD,1
19,660388,CN,CN,michael.fairfax@yahoo.com,02/10/2016 12:30 AM,7e256630aaff5f0057,mcfleetcredit,747697,GBP,1
20,776315,CN,CN,shonda.nordstrom@hotmail.com,02/10/2016 12:41 AM,a3cf4722f2acd2e36f,visapremiumcredit,669908,USD,0
21,657100,FI,NL,annalisa.anger@hotmail.com,02/10/2016 12:46 AM,79574023e1014614fa,mcpro,862718,GBP,0
22,995364,AU,AU,michael.fairfax@aol.com,02/10/2016 01:05 AM,a7ef4aaec333de5ae6,electron,890952,CAD,0
23,755291,RO,RO,roosevelt.poor@gmail.com,02/10/2016 01:09 AM,9613c14bfee9a63cac,mcsuperpremiumcredit,243983,CNY,0
24,548207,CA,CA,conchita.brodeur@aol.com,02/10/2016 01:39 AM,d0dad3295fd82d1687,mccommercialcredit,149075,SEK,0
25,519496,DE,DE,margarete.wadlow@msn.com,02/10/2016 02:17 AM,3ffceb74b6056ed0bf,mc,234592,SEK,0
26,300396,GB,GB,hilde.jennings@yahoo.com,02/10/2016 04:06 AM,fcd1c01966894b6160,visabusiness,571819,NOK,0
27,841422,FI,CN,roselia.stovall@yahoo.com,02/10/2016 04:20 AM,17920ce6f5328a051f,mcfleetcredit,147617,NOK,0
28,669671,CN,CN,faye.lamy@gmail.com,02/10/2016 04:36 AM,c562a4203754ad431f,mcalphabankbonus,130829,CAD,0
29,528238,CN,NI,sarita.surprenant@gmail.com,02/10/2016 04:53 AM,832793c143b3deb762,visa_applepay,765028,EUR,0
30,265631,FI,FI,wanda.pakele@yahoo.com,02/10/2016 05:26 AM,595750ea4a3d26a622,cirrus,856070,USD,0
31,848911,BE,BE,louvenia.regnier@hotmail.com,02/10/2016 07:32 AM,1e51e89a1c874cecda,visapurchasingdebit,157537,AUD,0
32,945789,NL,FI,katharine.fahey@hotmail.com,02/10/2016 07:33 AM,e0a176f53c770531d9,cirrus,439209,CAD,1
33,429956,FR,FR,dorcas.cameron@msn.com,02/10/2016 08:20 AM,08a9c7a7f592a62102,mc_androidpay,847200,GBP,0
34,833906,NI,NI,adolfo.spurlock@msn.com,02/10/2016 08:46 AM,6241c927bf12c36dc9,visacommercialcredit,833909,USD,0
